City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Vilyuysk,RU,2021-04-05 02:18:23,63.7553,121.6247,-0.65,86,100,6.04
134,Vitim,RU,2021-04-05 02:18:23,59.4511,112.5578,12.92,78,89,5.1
135,Log,RU,2021-04-05 02:18:24,49.4844,43.8613,38.61,86,100,6.38
136,Kaitangata,NZ,2021-04-05 02:18:24,-46.2817,169.8464,57.99,53,92,17.0
137,Pevek,RU,2021-04-05 02:18:24,69.7008,170.3133,-4.23,89,96,5.46
138,Ribeira Grande,PT,2021-04-05 02:18:04,38.5167,-28.7,61.21,79,94,14.45
139,Redmond,US,2021-04-05 02:16:06,47.674,-122.1215,48.0,65,66,6.69
140,College,US,2021-04-05 02:18:25,64.8569,-147.8028,30.2,59,75,16.11
141,Avarua,CK,2021-04-05 02:18:26,-21.2078,-159.775,80.6,89,40,6.91
142,Nikolskoye,RU,2021-04-05 02:17:26,59.7035,30.7861,37.99,70,75,6.71
143,Boddam,GB,2021-04-05 02:18:27,57.4667,-1.7833,30.0,80,75,24.16
144,Leningradskiy,RU,2021-04-05 02:18:27,69.3833,178.4167,7.43,82,100,1.59
145,Ossora,RU,2021-04-05 02:18:27,59.2353,163.0719,21.7,85,100,18.81
146,Geraldton,AU,2021-04-05 02:18:28,-28.7667,114.6,77.0,69,90,16.11
147,Lebu,CL,2021-04-05 02:18:28,-37.6167,-73.65,54.07,90,100,12.5
148,Cascais,PT,2021-04-05 02:18:29,38.6979,-9.4215,57.99,72,0,8.28
149,Yumen,CN,2021-04-05 02:15:06,40.2833,97.2,44.04,48,100,3.49
150,Itacarambi,BR,2021-04-05 02:18:29,-15.1022,-44.0919,75.24,70,100,6.35
151,Arraial Do Cabo,BR,2021-04-05 02:13:56,-22.9661,-42.0278,75.54,73,53,10.96
152,Constitucion,CL,2021-04-05 02:18:30,-35.3333,-72.4167,57.0,85,97,6.82
153,Saint-Philippe,RE,2021-04-05 02:18:30,-21.3585,55.7679,78.8,69,0,6.91
154,Waiouru,NZ,2021-04-05 02:18:31,-39.4833,175.6667,62.8,61,100,9.33
155,Huilong,CN,2021-04-05 02:18:31,31.8111,121.655,61.0,45,3,12.1
156,Tecoanapa,MX,2021-04-05 02:18:32,16.5167,-98.75,80.04,69,65,3.42
157,Fortuna,US,2021-04-05 02:14:18,40.5982,-124.1573,53.01,87,90,10.36
158,Tacarigua,VE,2021-04-05 02:18:33,10.0862,-67.9198,82.4,69,40,3.4
159,Marang,MY,2021-04-05 02:18:33,5.2056,103.2059,82.85,79,59,4.52
160,Awjilah,LY,2021-04-05 02:18:33,29.1081,21.2869,67.73,12,85,11.88
161,Parkersburg,US,2021-04-05 02:18:34,39.2667,-81.5615,60.8,27,1,4.61
