City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,535,Acajutla,SV,72.0,few clouds,13.5928,-89.8275,asi es
184,540,Sibu,MY,78.8,light rain,2.3,111.8167,RH HOTEL (4 Star)
185,541,Puerto Escondido,MX,80.37,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
186,543,Carutapera,BR,75.54,overcast clouds,-1.195,-46.02,Lidera
187,545,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
189,549,Puerto Leguizamo,CO,72.72,moderate rain,-0.1934,-74.7819,la casona de juancho
190,550,Bosaso,SO,77.25,clear sky,11.2842,49.1816,Red Sea Hotel
191,551,Porto Novo,BJ,80.24,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
192,555,Uruguaiana,BR,78.8,light rain,-29.7547,-57.0883,Fares Turis Hotel
193,558,Chenghai,CN,75.2,clear sky,23.4632,116.768,Guangdong Hotel
194,559,Inirida,CO,71.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
195,561,Bambanglipuro,ID,86.38,broken clouds,-7.95,110.2833,Puri Brata
196,562,Nabire,ID,86.77,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
197,565,Porbandar,IN,77.0,haze,21.6422,69.6093,Lords Inn Porbandar
198,569,Ternate,ID,83.88,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
199,571,Kirakira,SB,84.02,broken clouds,-10.4544,161.9205,SanBiz Lodge
200,572,Benguela,AO,79.29,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
201,583,Naze,JP,73.4,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
202,584,Santa Marta,CO,82.99,few clouds,11.2408,-74.199,Casa de Isabella
203,587,Ilhabela,BR,71.67,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
204,588,Eirunepe,BR,70.66,overcast clouds,-6.6603,-69.8736,Atrás de você
205,590,Ngunguru,NZ,77.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
206,592,Wilmington,US,71.6,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
207,597,Sao Raimundo Das Mangabeiras,BR,77.38,broken clouds,-7.0219,-45.4811,Hotel Tropical
208,600,Cuervos,MX,82.4,clear sky,32.6314,-114.8556,Hotel Del Valle
209,603,Independencia,BR,71.04,moderate rain,-5.3964,-40.3086,Pousada Santa Cruz
210,605,Namatanai,PG,82.17,light rain,-3.6667,152.4333,Namatanai Hotel
211,612,Lake Havasu City,US,84.2,clear sky,34.4839,-114.3224,Heat Hotel
212,613,Kendari,ID,89.37,overcast clouds,-3.945,122.4989,Hotel Wixel
213,617,Manokwari,ID,81.61,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
214,618,Soe,ID,79.21,broken clouds,-9.8607,124.284,Dena Hotel
215,619,Tura,IN,84.2,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
216,620,Mahajanga,MG,75.2,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
217,623,Mamallapuram,IN,84.2,haze,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
218,624,Matamoros,MX,87.8,clear sky,25.5333,-103.25,Quinta Belem
219,628,Roebourne,AU,88.23,broken clouds,-20.7833,117.1333,Harding River Caravan Park
